RegionName,StateName,county_geoid,year,zhvi,median_income,lon,lat,row_id,yhat
Autauga County,AL,1001,2019,,58731.0,-86.64273982283679,32.53488952018479,8,205165.83870837
Barbour County,AL,1005,2012,,31889.0,-85.39340754346527,31.869525516917044,17,40790.18580517266
Barbour County,AL,1005,2013,,32911.0,-85.39340754346527,31.869525516917044,18,47079.87293229066
Barbour County,AL,1005,2014,,35634.0,-85.39340754346527,31.869525516917044,19,61163.13369305059
Barbour County,AL,1005,2015,,32964.0,-85.39340754346527,31.869525516917044,20,50536.96317442879
Barbour County,AL,1005,2016,,33956.0,-85.39340754346527,31.869525516917044,21,56689.19750377536
Barbour County,AL,1005,2017,,33368.0,-85.39340754346527,31.869525516917044,22,55602.25115049258
Barbour County,AL,1005,2018,,34186.0,-85.39340754346527,31.869525516917044,23,60957.259252764285
Barbour County,AL,1005,2019,,32525.0,-85.39340754346527,31.869525516917044,24,54954.08449918963
Blount County,AL,1009,2014,,44409.0,-86.56760676301911,33.98074005148501,35,164301.37261011777
Blount County,AL,1009,2017,,47412.0,-86.56760676301911,33.98074005148501,38,182881.78311615298
Bullock County,AL,1011,2012,,34500.0,-85.71565240361228,32.100536944341684,41,71669.94658397045
Bullock County,AL,1011,2013,,32033.0,-85.71565240361228,32.100536944341684,42,61973.87333026901
Bullock County,AL,1011,2014,,34804.0,-85.71565240361228,32.100536944341684,43,76277.05856746295
Bullock County,AL,1011,2015,,31938.0,-85.71565240361228,32.100536944341684,44,64752.863103400916
Bullock County,AL,1011,2016,,29335.0,-85.71565240361228,32.100536944341684,45,54433.6704998021
Bullock County,AL,1011,2017,,29655.0,-85.71565240361228,32.100536944341684,46,57506.962159068324
Bullock County,AL,1011,2018,,32152.0,-85.71565240361228,32.100536944341684,47,70554.74517661566
Bullock County,AL,1011,2019,,37785.0,-85.71565240361228,32.100536944341684,48,97970.92732120631
Butler County,AL,1013,2014,,31571.0,-86.68030144036531,31.752341114278877,51,57677.609552621376
Butler County,AL,1013,2015,,32229.0,-86.68030144036531,31.752341114278877,52,62299.5360667794
Calhoun County,AL,1015,2019,,47255.0,-85.82613669680502,33.77138434433126,64,125999.01974607306
Chambers County,AL,1017,2016,,36027.0,-85.39198940060442,32.91427380462757,69,57715.15085744904
Chilton County,AL,1021,2013,,41250.0,-86.71884774078634,32.84779379432069,82,96650.3088212409
Chilton County,AL,1021,2014,,41785.0,-86.71884774078634,32.84779379432069,83,100708.67886453588
Chilton County,AL,1021,2017,,43501.0,-86.71884774078634,32.84779379432069,86,113392.36434617545
Clarke County,AL,1025,2012,,30954.0,-87.83074240365137,31.67631413954676,89,87448.43217282416
Clarke County,AL,1025,2013,,29357.0,-87.83074240365137,31.67631413954676,90,81738.49005449424
Clarke County,AL,1025,2014,,30951.0,-87.83074240365137,31.67631413954676,91,90648.94385912176
Clarke County,AL,1025,2015,,32011.0,-87.83074240365137,31.67631413954676,92,97112.73786341725
Clarke County,AL,1025,2016,,32735.0,-87.83074240365137,31.67631413954676,93,102037.06053267233
Clarke County,AL,1025,2017,,33827.0,-87.83074240365137,31.67631413954676,94,108647.47085459065
Clarke County,AL,1025,2018,,36127.0,-87.83074240365137,31.67631413954676,95,120792.64716677275
Clay County,AL,1027,2012,,34556.0,-85.86066830579298,33.26902813288981,97,69925.65122659737
Clay County,AL,1027,2016,,38815.0,-85.86066830579298,33.26902813288981,101,95867.88068236783
Coffee County,AL,1031,2013,,43768.0,-85.9882304557411,31.40252203685104,114,110403.57047900837
Coffee County,AL,1031,2018,,53155.0,-85.9882304557411,31.40252203685104,119,161448.19331688248
Colbert County,AL,1033,2012,,40158.0,-87.80492432910293,34.7005074315367,121,74615.87949696416
Colbert County,AL,1033,2013,,39077.0,-87.80492432910293,34.7005074315367,122,71270.12550030323
Colbert County,AL,1033,2014,,39914.0,-87.80492432910293,34.7005074315367,123,76712.18704116438
Colbert County,AL,1033,2016,,43786.0,-87.80492432910293,34.7005074315367,125,97667.01843960816
Conecuh County,AL,1035,2012,,27064.0,-86.99368904327717,31.429186587538656,129,25772.47369101364
Conecuh County,AL,1035,2013,,24658.0,-86.99368904327717,31.429186587538656,130,16355.88779278053
Conecuh County,AL,1035,2014,,24433.0,-86.99368904327717,31.429186587538656,131,16932.120292532258
Conecuh County,AL,1035,2015,,24900.0,-86.99368904327717,31.429186587538656,132,20678.930660878308
Conecuh County,AL,1035,2016,,27609.0,-86.99368904327717,31.429186587538656,133,34698.04678267799
Conecuh County,AL,1035,2017,,30434.0,-86.99368904327717,31.429186587538656,134,49248.64705586061
Conecuh County,AL,1035,2018,,33177.0,-86.99368904327717,31.429186587538656,135,63423.54301513452
Coosa County,AL,1037,2012,,37425.0,-86.24764847358885,32.93621742097906,137,100524.26837500744
Coosa County,AL,1037,2017,,34792.0,-86.24764847358885,32.93621742097906,142,96496.13690578658
