RegionName,StateName,county_geoid,year,zhvi,median_income,lon,lat,row_id
Autauga County,AL,01001,2012,175393.41666666666,53773,-86.64273982283679,32.53488952018479,1
Autauga County,AL,01001,2013,173808.16666666666,53682,-86.64273982283679,32.53488952018479,2
Autauga County,AL,01001,2014,176132.25,52475,-86.64273982283679,32.53488952018479,3
Autauga County,AL,01001,2015,181524.16666666666,51281,-86.64273982283679,32.53488952018479,4
Autauga County,AL,01001,2016,186105.58333333334,53099,-86.64273982283679,32.53488952018479,5
Autauga County,AL,01001,2017,189175.33333333334,55317,-86.64273982283679,32.53488952018479,6
Autauga County,AL,01001,2018,196410.75,58786,-86.64273982283679,32.53488952018479,7
Autauga County,AL,01001,2019,NA,58731,-86.64273982283679,32.53488952018479,8
Baldwin County,AL,01003,2012,155191.83333333334,50706,-87.74977668038933,30.660080028430283,9
Baldwin County,AL,01003,2013,160729.25,50221,-87.74977668038933,30.660080028430283,10
Baldwin County,AL,01003,2014,167539.33333333334,50183,-87.74977668038933,30.660080028430283,11
Baldwin County,AL,01003,2015,173987.83333333334,50254,-87.74977668038933,30.660080028430283,12
Baldwin County,AL,01003,2016,180297.75,51365,-87.74977668038933,30.660080028430283,13
Baldwin County,AL,01003,2017,185484.5,52562,-87.74977668038933,30.660080028430283,14
Baldwin County,AL,01003,2018,203077.41666666666,55962,-87.74977668038933,30.660080028430283,15
Baldwin County,AL,01003,2019,219804.58333333334,58320,-87.74977668038933,30.660080028430283,16
Barbour County,AL,01005,2012,NA,31889,-85.39340754346527,31.869525516917044,17
Barbour County,AL,01005,2013,NA,32911,-85.39340754346527,31.869525516917044,18
Barbour County,AL,01005,2014,NA,35634,-85.39340754346527,31.869525516917044,19
Barbour County,AL,01005,2015,NA,32964,-85.39340754346527,31.869525516917044,20
Barbour County,AL,01005,2016,NA,33956,-85.39340754346527,31.869525516917044,21
Barbour County,AL,01005,2017,NA,33368,-85.39340754346527,31.869525516917044,22
Barbour County,AL,01005,2018,NA,34186,-85.39340754346527,31.869525516917044,23
Barbour County,AL,01005,2019,NA,32525,-85.39340754346527,31.869525516917044,24
Bibb County,AL,01007,2012,111424.33333333333,36824,-87.12644024819737,32.998590586961036,25
Bibb County,AL,01007,2013,109346.5,36447,-87.12644024819737,32.998590586961036,26
Bibb County,AL,01007,2014,107665.83333333333,37984,-87.12644024819737,32.998590586961036,27
Bibb County,AL,01007,2015,109241.58333333333,38678,-87.12644024819737,32.998590586961036,28
Bibb County,AL,01007,2016,110902.16666666667,39776,-87.12644024819737,32.998590586961036,29
Bibb County,AL,01007,2017,115346.41666666667,43404,-87.12644024819737,32.998590586961036,30
